Month,Year,Average Temperature,Historical Average,Max Temperature,Min Temperature,Historical Max,Historical Min
December,2017,26.07,25.01,32.35,19.55,31.00,19.13
January,2018,26.17,25.74,32.37,20.68,31.68,19.90
February,2018,27.20,26.55,33.33,22.20,32.40,20.83
March,2018,26.17,26.82,31.57,22.01,32.89,20.93
April,2018,25.48,26.07,30.47,21.27,31.79,20.51
May,2018,25.21,25.36,30.99,20.65,31.07,19.80
June,2018,24.61,24.35,29.94,19.91,30.37,18.57
July,2018,23.97,23.57,29.73,18.74,29.32,17.88
August,2018,24.04,23.84,30.13,19.11,29.50,18.12
September,2018,25.61,24.82,31.75,20.32,30.77,18.93
October,2018,26.19,25.42,32.04,20.86,31.12,19.75
November,2018,26.18,24.98,31.92,20.69,30.63,19.29
December,2018,26.13,25.01,32.30,20.89,31.00,19.13
January,2019,26.99,25.74,33.18,22.00,31.68,19.90
February,2019,27.86,26.55,33.98,22.75,32.40,20.83
March,2019,28.41,26.82,35.36,22.20,32.89,20.93
April,2019,28.60,26.07,35.08,22.68,31.79,20.51
May,2019,27.17,25.36,33.03,21.72,31.07,19.80
June,2019,25.64,24.35,31.19,20.65,30.37,18.57
July,2019,24.95,23.57,30.84,19.52,29.32,17.88
August,2019,25.01,23.84,30.92,19.75,29.50,18.12
September,2019,25.87,24.82,31.62,20.60,30.77,18.93
October,2019,25.74,25.42,30.71,21.30,31.12,19.75
November,2019,25.57,24.98,30.60,20.92,30.63,19.29
December,2019,25.52,25.01,30.99,20.92,31.00,19.13
January,2020,26.80,25.74,31.91,22.52,31.68,19.90
February,2020,27.47,26.55,32.81,23.19,32.40,20.83
March,2020,28.07,26.82,33.49,23.32,32.89,20.93
April,2020,26.98,26.07,32.55,21.98,31.79,20.51
May,2020,26.24,25.36,32.26,21.10,31.07,19.80
June,2020,25.39,24.35,31.34,20.04,30.37,18.57
July,2020,24.61,23.57,30.35,19.42,29.32,17.88
August,2020,24.64,23.84,30.32,19.68,29.50,18.12
September,2020,25.49,24.82,31.02,20.37,30.77,18.93
October,2020,26.93,25.42,32.66,21.38,31.12,19.75
November,2020,26.00,24.98,31.64,20.67,30.63,19.29
December,2020,26.41,25.01,32.49,20.19,31.00,19.13
January,2021,26.31,25.74,31.80,21.32,31.68,19.90
February,2021,27.25,26.55,32.53,22.20,32.40,20.83
March,2021,27.82,26.82,33.86,21.94,32.89,20.93
April,2021,26.92,26.07,33.01,21.79,31.79,20.51
May,2021,25.88,25.36,31.69,20.94,31.07,19.80
June,2021,24.88,24.35,30.77,19.57,30.37,18.57
July,2021,24.11,23.57,29.28,19.28,29.32,17.88
August,2021,24.75,23.84,30.71,18.91,29.50,18.12
September,2021,25.79,24.82,31.18,20.67,30.77,18.93
October,2021,27.13,25.42,32.49,21.25,31.12,19.75
November,2021,26.93,24.98,32.77,21.23,30.63,19.29
December,2021,26.20,25.01,31.10,21.00,31.00,19.13
January,2022,26.55,25.74,32.17,21.12,31.68,19.90
February,2022,27.64,26.55,33.01,22.33,32.40,20.83
March,2022,28.15,26.82,34.43,22.30,32.89,20.93
April,2022,27.71,26.07,33.80,22.63,31.79,20.51
May,2022,26.89,25.36,32.86,21.53,31.07,19.80
June,2022,25.46,24.35,31.28,19.81,30.37,18.57
July,2022,24.24,23.57,29.94,19.07,29.32,17.88
August,2022,24.17,23.84,29.87,19.21,29.50,18.12
September,2022,25.53,24.82,30.88,20.39,30.77,18.93
October,2022,26.68,25.42,32.51,20.99,31.12,19.75
November,2022,26.34,24.98,31.62,21.17,30.63,19.29
December,2022,26.19,25.01,32.23,20.74,31.00,19.13
January,2023,26.70,25.74,32.90,21.11,31.68,19.90
February,2023,27.87,26.55,33.95,21.88,32.40,20.83
March,2023,27.70,26.82,33.40,22.65,32.89,20.93
April,2023,26.39,26.07,32.11,21.69,31.79,20.51
May,2023,26.53,25.36,32.15,21.39,31.07,19.80
June,2023,26.01,24.35,31.86,20.44,30.37,18.57
July,2023,24.70,23.57,30.73,19.44,29.32,17.88
August,2023,25.45,23.84,31.33,20.05,29.50,18.12
September,2023,26.78,24.82,32.44,21.36,30.77,18.93
October,2023,27.26,25.42,32.72,22.11,31.12,19.75
November,2023,25.90,24.98,30.75,21.44,30.63,19.29
December,2023,26.53,25.01,32.34,20.47,31.00,19.13
January,2024,27.38,25.74,33.32,21.54,31.68,19.90
February,2024,28.53,26.55,34.38,22.81,32.40,20.83
March,2024,29.08,26.82,35.15,23.19,32.89,20.93
May,2024,27.04,25.36,32.75,21.48,31.07,19.80
June,2024,25.87,24.35,31.89,20.09,30.37,18.57
July,2024,25.28,23.57,31.03,19.59,29.32,17.88
August,2024,25.02,23.84,30.68,19.30,29.50,18.12
September,2024,26.38,24.82,NaN,20.67,30.77,18.93
October,2024,27.49,25.42,NaN,21.80,31.12,19.75
November,2024,26.43,24.98,NaN,NaN,30.63,19.29
December,2024,26.83,25.01,NaN,NaN,31.00,19.13
